Name,Issue_URL,Issue_number,PR,Line added,Line deleted,Fix duration (days)
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/231,231,232,36,40,6
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/99,99,100,894,357,10
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/411,411,414,26,5,0
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/86,86,91,357,298,29
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/127,127,133,1436,942,34
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/90,90,91,357,298,1
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/311,311,315,9,126,16
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/422,422,424,2,2,0
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/81,81,100,894,357,466
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/423,423,424,2,2,0
justinshenk/fer,https://github.com/justinshenk/fer/issues/24,24,25,49,5,22
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/482,482,491,310,57,29
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/495,495,497,10,4,4
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/540,540,555,3,3,58
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/551,551,552,134,89,6
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/64,64,65,2,2,12
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/565,565,566,6,4,0
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/212,212,213,538,508,1
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/140,140,141,71,78,0
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/197,197,198,18,0,0
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/267,267,268,5,1,0
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/712,712,724,62,55,77
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/529,529,541,0,1713,2
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/260,260,261,16,13,6
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1201,1201,1235,6,6,150
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1173,1173,1177,34,35,2
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/491,491,513,158,144,38
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1226,1226,1228,17,17,7
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1158,1158,1159,2,2,13
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/251,251,252,25,12,3
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/247,247,246,1538,49,3
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/230,230,234,897,801,7
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/263,263,280,2,12,35
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/255,255,257,39,28,6
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/254,254,256,15,7,2
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2110,2110,2109,89,14,6
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1802,1802,1830,79,0,10
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1479,1479,1669,61,97,60
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1341,1341,1344,52,4,0
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/552,552,553,3,1,0
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1875,1875,1878,10,4,1
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1147,1147,1148,27,12,0
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/807,807,808,3,0,0
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1404,1404,1410,123,40,4
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/865,865,895,32,13,13
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2499,2499,2508,150,44,1
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1365,1365,1376,558,349,15
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/491,491,530,183,85,55
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1492,1492,1589,51,0,56
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/833,833,861,30,1,21
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1502,1502,1522,800,754,10
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1118,1118,1119,4,2,19
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2368,2368,2382,76,8,7
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/819,819,897,0,2,36
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1545,1545,1546,5,3,0
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/138,138,140,7,2,10
philipperemy/keras-tcn,https://github.com/philipperemy/keras-tcn/issues/3,3,4,1,0,11
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/149,149,150,1,1,0
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack/issues/182,182,183,134,30,3
catalyst-team/catalyst,https://github.com/catalyst-team/catalyst/issues/85,85,87,87,33,0
sktime/sktime,https://github.com/sktime/sktime/issues/3633,3633,3635,90,0,24
sktime/sktime,https://github.com/sktime/sktime/issues/504,504,505,101,381,1
sktime/sktime,https://github.com/sktime/sktime/issues/1478,1478,1473,9,18,407
sktime/sktime,https://github.com/sktime/sktime/issues/1090,1090,967,257,84,480
sktime/sktime,https://github.com/sktime/sktime/issues/1803,1803,1620,985,1261,26
sktime/sktime,https://github.com/sktime/sktime/issues/1947,1947,2045,3,2,14
sktime/sktime,https://github.com/sktime/sktime/issues/2717,2717,2720,104,20,7
sktime/sktime,https://github.com/sktime/sktime/issues/3014,3014,3449,1,1,67
sktime/sktime,https://github.com/sktime/sktime/issues/289,289,310,35,14,7
sktime/sktime,https://github.com/sktime/sktime/issues/2275,2275,2281,8,9,0
sktime/sktime,https://github.com/sktime/sktime/issues/1038,1038,1042,75,12,274
sktime/sktime,https://github.com/sktime/sktime/issues/918,918,1130,144,83,100
sktime/sktime,https://github.com/sktime/sktime/issues/522,522,537,57,46,11
sktime/sktime,https://github.com/sktime/sktime/issues/3316,3316,3451,268,144,64
sktime/sktime,https://github.com/sktime/sktime/issues/534,534,582,219,144,356
sktime/sktime,https://github.com/sktime/sktime/issues/1126,1126,1127,287,0,10
sktime/sktime,https://github.com/sktime/sktime/issues/539,539,737,2,2,98
sktime/sktime,https://github.com/sktime/sktime/issues/1625,1625,1842,168,18,62
sktime/sktime,https://github.com/sktime/sktime/issues/692,692,769,13,1,76
sktime/sktime,https://github.com/sktime/sktime/issues/2455,2455,2456,75,26,14
sktime/sktime,https://github.com/sktime/sktime/issues/2905,2905,3807,44,16,196
sktime/sktime,https://github.com/sktime/sktime/issues/1647,1647,1648,142,3,8
sktime/sktime,https://github.com/sktime/sktime/issues/3267,3267,3268,27,4,6
sktime/sktime,https://github.com/sktime/sktime/issues/3772,3772,3775,5,3,1
sktime/sktime,https://github.com/sktime/sktime/issues/3397,3397,3430,576,4,103
sktime/sktime,https://github.com/sktime/sktime/issues/2528,2528,2703,63,18,39
sktime/sktime,https://github.com/sktime/sktime/issues/1837,1837,1841,12,10,0
sktime/sktime,https://github.com/sktime/sktime/issues/910,910,911,9,6,8
sktime/sktime,https://github.com/sktime/sktime/issues/510,510,912,918,606,203
sktime/sktime,https://github.com/sktime/sktime/issues/320,320,295,3437,20330,575
sktime/sktime,https://github.com/sktime/sktime/issues/1085,1085,3355,1009,0,437
sktime/sktime,https://github.com/sktime/sktime/issues/1230,1230,1205,2153,1286,16
intel/dffml,https://github.com/intel/dffml/issues/118,118,150,623,483,21
intel/dffml,https://github.com/intel/dffml/issues/349,349,357,109,34,4
intel/dffml,https://github.com/intel/dffml/issues/597,597,642,84,52,20
intel/dffml,https://github.com/intel/dffml/issues/561,561,617,52,28,27
intel/dffml,https://github.com/intel/dffml/issues/49,49,71,3526,2662,19
autonomio/talos,https://github.com/autonomio/talos/issues/223,223,240,73,23,162
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/322,322,417,70,21,307
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/158,158,172,77,264,11
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/26,26,32,31,0,2
pyro-ppl/funsor,https://github.com/pyro-ppl/funsor/issues/11,11,95,182,37,43
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/197,197,198,76,1,1
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/836,836,837,5,52,1
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/319,319,328,36,27,31
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/339,339,405,34,1,149
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/513,513,833,55,228,871
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/851,851,915,174,234,67
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/484,484,485,1,1,0
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/256,256,258,2,2,7
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/1,1,342,5,3,47
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/408,408,405,34,1,198
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/296,296,298,11,2,1
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/307,307,308,6,5,0
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/204,204,232,179,30,17
kymatio/kymatio,https://github.com/kymatio/kymatio/issues/194,194,195,88,54,2
